run	cap	frequency	period
1.000000000000000e+000	9.002500e-006	1.115200e+000	8.967000e-001
2.000000000000000e+000	9.700580e-006	1.035350e+000	9.658530e-001
3.000000000000000e+000	1.042100e-005	9.614560e-001	1.040090e+000
4.000000000000000e+000	9.294630e-006	1.081480e+000	9.246610e-001
5.000000000000000e+000	9.017820e-006	1.107900e+000	9.026100e-001
6.000000000000000e+000	9.332470e-006	1.077280e+000	9.282610e-001
7.000000000000000e+000	1.056660e-005	9.339300e-001	1.070740e+000
8.000000000000000e+000	1.091180e-005	9.087990e-001	1.100350e+000
9.000000000000000e+000	1.072450e-005	9.274020e-001	1.078280e+000
1.000000000000000e+001	1.022300e-005	9.705550e-001	1.030340e+000
1.100000000000000e+001	9.751730e-006	1.030100e+000	9.707750e-001
1.200000000000000e+001	9.551770e-006	1.043230e+000	9.585620e-001
1.300000000000000e+001	9.969880e-006	1.003160e+000	9.968510e-001
1.400000000000000e+001	1.048890e-005	9.488390e-001	1.053920e+000
1.500000000000000e+001	1.014480e-005	9.861880e-001	1.014010e+000
1.600000000000000e+001	1.003420e-005	9.950830e-001	1.004940e+000
1.700000000000000e+001	9.983790e-006	1.009920e+000	9.901790e-001
1.800000000000000e+001	9.283150e-006	1.070400e+000	9.342260e-001
1.900000000000000e+001	1.093320e-005	9.143310e-001	1.093700e+000
2.000000000000000e+001	9.382700e-006	1.072250e+000	9.326180e-001
2.100000000000000e+001	1.046400e-005	9.547580e-001	1.047390e+000
2.200000000000000e+001	1.044380e-005	9.515330e-001	1.050940e+000
2.300000000000000e+001	1.003400e-005	9.808530e-001	1.019520e+000
2.400000000000000e+001	1.009910e-005	9.830410e-001	1.017250e+000
2.500000000000000e+001	9.912200e-006	9.986850e-001	1.001320e+000
2.600000000000000e+001	9.391980e-006	1.057890e+000	9.452790e-001
2.700000000000000e+001	9.054930e-006	1.091370e+000	9.162830e-001
2.800000000000000e+001	1.068610e-005	9.229160e-001	1.083520e+000
2.900000000000000e+001	9.219860e-006	1.095150e+000	9.131130e-001
3.000000000000000e+001	9.280530e-006	1.073560e+000	9.314840e-001
3.100000000000000e+001	9.505450e-006	1.044850e+000	9.570740e-001
3.200000000000000e+001	9.421160e-006	1.064120e+000	9.397450e-001
3.300000000000000e+001	1.050440e-005	9.451470e-001	1.058040e+000
3.400000000000000e+001	1.039240e-005	9.583540e-001	1.043460e+000
3.500000000000000e+001	1.025740e-005	9.794520e-001	1.020980e+000
3.600000000000000e+001	9.379890e-006	1.077850e+000	9.277740e-001
3.700000000000000e+001	9.195010e-006	1.078830e+000	9.269310e-001
3.800000000000000e+001	1.078920e-005	9.348780e-001	1.069660e+000
3.900000000000000e+001	1.025610e-005	9.716860e-001	1.029140e+000
4.000000000000000e+001	1.070960e-005	9.318920e-001	1.073090e+000
4.100000000000000e+001	9.368540e-006	1.076340e+000	9.290780e-001
4.200000000000000e+001	1.020940e-005	9.750910e-001	1.025550e+000
4.300000000000000e+001	1.048150e-005	9.487650e-001	1.054000e+000
4.400000000000000e+001	1.015210e-005	9.760940e-001	1.024490e+000
4.500000000000000e+001	1.033560e-005	9.696780e-001	1.031270e+000
4.600000000000000e+001	9.217110e-006	1.090030e+000	9.174060e-001
4.700000000000000e+001	9.158700e-006	1.097560e+000	9.111130e-001
4.800000000000000e+001	9.817960e-006	1.026860e+000	9.738440e-001
4.900000000000000e+001	1.047600e-005	9.522640e-001	1.050130e+000
5.000000000000000e+001	9.600120e-006	1.028100e+000	9.726670e-001
5.100000000000000e+001	1.021930e-005	9.800930e-001	1.020310e+000
5.200000000000000e+001	9.209600e-006	1.075000e+000	9.302360e-001
5.300000000000000e+001	1.032560e-005	9.690440e-001	1.031950e+000
5.400000000000000e+001	1.001850e-005	9.954060e-001	1.004610e+000
5.500000000000000e+001	9.011780e-006	1.104450e+000	9.054290e-001
5.600000000000000e+001	1.049470e-005	9.560980e-001	1.045920e+000
5.700000000000000e+001	1.091140e-005	9.223580e-001	1.084180e+000
5.800000000000000e+001	1.090340e-005	9.249780e-001	1.081110e+000
5.900000000000000e+001	9.263250e-006	1.070130e+000	9.344700e-001
6.000000000000000e+001	9.029360e-006	1.116390e+000	8.957450e-001
6.100000000000000e+001	9.337840e-006	1.070590e+000	9.340660e-001
6.200000000000000e+001	1.060480e-005	9.360730e-001	1.068290e+000
6.300000000000000e+001	9.289620e-006	1.079610e+000	9.262620e-001
6.400000000000000e+001	9.132330e-006	1.090190e+000	9.172710e-001
6.500000000000000e+001	9.622700e-006	1.038200e+000	9.632060e-001
6.600000000000000e+001	1.079050e-005	9.295630e-001	1.075770e+000
6.700000000000000e+001	9.456980e-006	1.051370e+000	9.511410e-001
6.800000000000000e+001	9.107610e-006	1.108340e+000	9.022470e-001
6.900000000000000e+001	1.078310e-005	9.180480e-001	1.089270e+000
7.000000000000000e+001	9.094180e-006	1.112720e+000	8.986950e-001
7.100000000000000e+001	1.089230e-005	9.160670e-001	1.091620e+000
7.200000000000000e+001	9.518330e-006	1.062650e+000	9.410400e-001
7.300000000000000e+001	1.017110e-005	9.906770e-001	1.009410e+000
7.400000000000000e+001	9.014340e-006	1.107240e+000	9.031500e-001
7.500000000000000e+001	9.444650e-006	1.070610e+000	9.340470e-001
7.600000000000000e+001	1.071020e-005	9.326240e-001	1.072240e+000
7.700000000000000e+001	1.006030e-005	9.928970e-001	1.007150e+000
7.800000000000000e+001	9.062140e-006	1.111270e+000	8.998680e-001
7.900000000000000e+001	1.089580e-005	9.082040e-001	1.101070e+000
8.000000000000000e+001	9.584490e-006	1.049410e+000	9.529190e-001
8.100000000000000e+001	9.481090e-006	1.036540e+000	9.647520e-001
8.200000000000000e+001	9.160220e-006	1.092880e+000	9.150170e-001
8.300000000000000e+001	9.421280e-006	1.077220e+000	9.283170e-001
8.400000000000000e+001	9.622270e-006	1.041180e+000	9.604490e-001
8.500000000000000e+001	9.307020e-006	1.083500e+000	9.229330e-001
8.600000000000000e+001	1.029110e-005	9.584640e-001	1.043340e+000
8.700000000000000e+001	9.301520e-006	1.062240e+000	9.414070e-001
8.800000000000000e+001	1.015710e-005	9.868870e-001	1.013290e+000
8.900000000000000e+001	1.059050e-005	9.454440e-001	1.057700e+000
9.000000000000000e+001	9.395340e-006	1.062350e+000	9.413070e-001
9.100000000000000e+001	9.882600e-006	1.013790e+000	9.863930e-001
9.200000000000000e+001	1.089890e-005	9.275270e-001	1.078140e+000
9.300000000000000e+001	1.014890e-005	9.962250e-001	1.003790e+000
9.400000000000000e+001	9.520400e-006	1.045870e+000	9.561380e-001
9.500000000000000e+001	9.787130e-006	1.018390e+000	9.819440e-001
9.600000000000000e+001	9.707110e-006	1.024600e+000	9.759870e-001
9.700000000000000e+001	9.400340e-006	1.072770e+000	9.321660e-001
9.800000000000000e+001	9.218760e-006	1.080200e+000	9.257550e-001
9.900000000000000e+001	1.037530e-005	9.722770e-001	1.028510e+000
1.000000000000000e+002	9.614460e-006	1.048200e+000	9.540210e-001
